2022-08-11 01:08:851 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (c20b13c598e24bb048ca60ec56afa04a)] -> id: name]
2022-08-11 01:08:125 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (c20b13c598e24bb048ca60ec56afa04a)] -> id: email]
2022-08-11 01:08:360 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (c20b13c598e24bb048ca60ec56afa04a)] -> id: email]
2022-08-11 01:08:650 INFO  DemoAccountPage :75 - Click on check button : [[ChromeDriver: chrome on WINDOWS (c20b13c598e24bb048ca60ec56afa04a)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:801 INFO  DemoAccountPage :80 - Click on check button1 : [[ChromeDriver: chrome on WINDOWS (c20b13c598e24bb048ca60ec56afa04a)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:962 INFO  DemoAccountPage :85 - Click on create account button : [[ChromeDriver: chrome on WINDOWS (c20b13c598e24bb048ca60ec56afa04a)] -> id: avaWidgetSubmit]
2022-08-11 01:08:584 INFO  TradePage :49 - Click on skip tutorial popup : Proxy element for: DefaultElementLocator 'By.xpath: //span[contains(text(),'Skip Tutorial')]'
2022-08-11 01:08:166 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-11 01:08:716 INFO  DemoAccountPage :57 - Enter first name: [[ChromeDriver: chrome on WINDOWS (d2afa5098e2be8d3147b6b19bca836a3)] -> id: name]
2022-08-11 01:08:891 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (d2afa5098e2be8d3147b6b19bca836a3)] -> id: name]
2022-08-11 01:08:122 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (d2afa5098e2be8d3147b6b19bca836a3)] -> id: email]
2022-08-11 01:08:351 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (d2afa5098e2be8d3147b6b19bca836a3)] -> id: email]
2022-08-11 01:08:636 INFO  DemoAccountPage :75 - Click on check button : [[ChromeDriver: chrome on WINDOWS (d2afa5098e2be8d3147b6b19bca836a3)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:802 INFO  DemoAccountPage :80 - Click on check button1 : [[ChromeDriver: chrome on WINDOWS (d2afa5098e2be8d3147b6b19bca836a3)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:947 INFO  DemoAccountPage :85 - Click on create account button : [[ChromeDriver: chrome on WINDOWS (d2afa5098e2be8d3147b6b19bca836a3)] -> id: avaWidgetSubmit]
2022-08-11 01:08:264 INFO  TradePage :49 - Click on skip tutorial popup : Proxy element for: DefaultElementLocator 'By.xpath: //span[contains(text(),'Skip Tutorial')]'
2022-08-11 01:08:417 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-11 01:08:427 INFO  DemoAccountPage :57 - Enter first name: [[ChromeDriver: chrome on WINDOWS (28305ca76f340e9e8f675e17ad9ab4e8)] -> id: name]
2022-08-11 01:08:649 INFO  DemoAccountPage :61 - Enter last name: [[ChromeDriver: chrome on WINDOWS (28305ca76f340e9e8f675e17ad9ab4e8)] -> id: name]
2022-08-11 01:08:20 INFO  DemoAccountPage :65 - Enter email id: [[ChromeDriver: chrome on WINDOWS (28305ca76f340e9e8f675e17ad9ab4e8)] -> id: email]
2022-08-11 01:08:267 INFO  DemoAccountPage :69 - Enter phone number: [[ChromeDriver: chrome on WINDOWS (28305ca76f340e9e8f675e17ad9ab4e8)] -> id: email]
2022-08-11 01:08:557 INFO  DemoAccountPage :75 - Click on check button : [[ChromeDriver: chrome on WINDOWS (28305ca76f340e9e8f675e17ad9ab4e8)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[3]/div[1]/div[1]/div[1]/label[1]]
2022-08-11 01:08:708 INFO  DemoAccountPage :80 - Click on check button1 : [[ChromeDriver: chrome on WINDOWS (28305ca76f340e9e8f675e17ad9ab4e8)] -> xpath: //body/div[1]/div[2]/div[1]/main[1]/article[1]/div[2]/div[1]/section[1]/section[1]/section[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[1]/div[4]/div[2]/div[4]/div[1]/div[1]/div[1]/label[1]]
